Z_PK,Z_ENT,Z_OPT,Z3RECRRINTERVALS,Z_FOK_3RECRRINTERVALS,ZABSVALUEPREV,ZTIMESTAMP,ZVALUE
393,5,1,1,401408,330673.0,502544772.535066,1252.0
394,5,1,1,399360,328324.0,502544769.543521,1113.0
395,5,1,1,397312,326166.0,502544767.547501,1057.0
396,5,1,1,396288,325109.0,502544767.04871,1061.0
397,5,1,1,418816,349738.0,502544791.506065,1165.0
398,5,1,1,449536,381536.0,502544823.909012,955.0
399,5,1,1,445440,377786.0,502544819.918866,965.0
400,5,1,1,447488,379600.0,502544821.913973,941.0
401,5,1,1,441344,373640.0,502544815.928878,1151.0
402,5,1,1,443392,375879.0,502544817.92375,1106.0
403,5,1,1,437248,369375.0,502544810.442818,1015.0
404,5,1,1,439296,371278.0,502544812.936501,974.0
405,5,1,1,433152,364986.0,502544806.45232,1126.0
406,5,1,1,435200,367289.0,502544808.945997,1200.0
407,5,1,1,431104,362812.0,502544803.958226,1073.0
408,5,1,1,429056,360679.0,502544802.462058,1083.0
409,5,1,1,427008,358484.0,502544798.970376,1125.0
410,5,1,1,424960,356335.0,502544796.975526,936.0
411,5,1,1,422912,354341.0,502544794.980264,1233.0
412,5,1,1,420864,352014.0,502544792.985046,1069.0
413,5,1,1,414720,345071.0,502544786.002258,1126.0
414,5,1,1,416768,347373.0,502544787.997253,1133.0
415,5,1,1,412672,342888.0,502544784.007275,1105.0
416,5,1,1,410624,340715.0,502544782.012149,1155.0
417,5,1,1,408576,338457.0,502544779.517995,1143.0
418,5,1,1,406528,336191.0,502544777.023953,1205.0
419,5,1,1,404480,333978.0,502544775.527914,1067.0
420,5,1,1,402432,331857.0,502544773.532713,1184.0
421,5,1,1,400384,329421.0,502544770.540748,1097.0
422,5,1,1,398336,327211.0,502544769.043928,1045.0
423,5,1,1,448512,380581.0,502544823.410369,981.0
424,5,1,1,450560,382424.0,502544824.906778,888.0
425,5,1,1,444416,376821.0,502544818.921384,942.0
426,5,1,1,446464,378659.0,502544820.917135,873.0
427,5,1,1,440320,372489.0,502544814.931318,1211.0
428,5,1,1,442368,374773.0,502544816.926934,1133.0
429,5,1,1,436224,368360.0,502544809.444718,1071.0
430,5,1,1,438272,370304.0,502544811.440367,929.0
431,5,1,1,434176,366089.0,502544807.450378,1103.0
432,5,1,1,432128,363860.0,502544805.953319,1048.0
433,5,1,1,430080,361739.0,502544802.960769,1060.0
434,5,1,1,428032,359596.0,502544800.965511,1112.0
435,5,1,1,425984,357359.0,502544797.972773,1024.0
436,5,1,1,423936,355399.0,502544795.97788,1058.0
437,5,1,1,421888,353108.0,502544793.983363,1094.0
438,5,1,1,419840,350945.0,502544791.987621,1207.0
439,5,1,1,417792,348573.0,502544789.992463,1200.0
440,5,1,1,506880,440692.0,502544885.2589,1124.0
441,5,1,1,504832,438557.0,502544882.765634,1136.0
442,5,1,1,502784,436305.0,502544881.768287,1128.0
443,5,1,1,500736,434116.0,502544878.77466,1142.0
444,5,1,1,498688,432015.0,502544876.77957,1052.0
445,5,1,1,496640,429881.0,502544873.787015,1128.0
446,5,1,1,494592,427621.0,502544871.79238,1185.0
447,5,1,1,492544,425373.0,502544869.796816,1125.0
448,5,1,1,490496,423197.0,502544867.802106,1070.0
449,5,1,1,488448,421007.0,502544865.806419,1110.0
450,5,1,1,486400,418747.0,502544862.814275,1048.0
451,5,1,1,484352,416563.0,502544861.816562,979.0
452,5,1,1,482304,414473.0,502544858.824269,1036.0
453,5,1,1,480256,412277.0,502544855.831697,1124.0
454,5,1,1,478208,409996.0,502544852.838249,1135.0
455,5,1,1,476160,407731.0,502544850.843094,1116.0
456,5,1,1,474112,405503.0,502544848.848052,1087.0
457,5,1,1,472064,403280.0,502544846.852904,1015.0
458,5,1,1,470016,401206.0,502544844.857776,962.0
459,5,1,1,467968,399234.0,502544842.862662,1028.0
460,5,1,1,465920,397251.0,502544840.868158,882.0
461,5,1,1,463872,395307.0,502544838.872609,1133.0
462,5,1,1,461824,393021.0,502544834.88224,1012.0
463,5,1,1,459776,391062.0,502544833.385966,885.0
464,5,1,1,457728,389340.0,502544831.889632,1006.0
465,5,1,1,455680,387283.0,502544830.402348,1061.0
466,5,1,1,453632,385190.0,502544826.901851,944.0
467,5,1,1,489472,422127.0,502544866.805961,1120.0
468,5,1,1,505856,439568.0,502544883.762432,1011.0
469,5,1,1,503808,437421.0,502544881.769256,1116.0
470,5,1,1,501760,435177.0,502544879.772846,1061.0
471,5,1,1,499712,432974.0,502544876.779589,959.0
472,5,1,1,497664,430963.0,502544874.784453,1082.0
473,5,1,1,495616,428753.0,502544873.288214,1132.0
474,5,1,1,493568,426436.0,502544870.794191,1063.0
475,5,1,1,491520,424248.0,502544869.297945,1051.0
476,5,1,1,485376,417699.0,502544861.818503,1136.0
477,5,1,1,487424,419897.0,502544863.811331,1150.0
478,5,1,1,481280,413437.0,502544857.327224,1160.0
479,5,1,1,483328,415584.0,502544859.821274,1111.0
480,5,1,1,477184,408861.0,502544851.840363,1130.0
481,5,1,1,479232,411153.0,502544855.33226,1157.0
482,5,1,1,473088,404416.0,502544847.850487,1136.0
483,5,1,1,475136,406615.0,502544850.344457,1112.0
484,5,1,1,468992,400244.0,502544843.860816,1010.0
485,5,1,1,471040,402265.0,502544845.855453,1059.0
486,5,1,1,464896,396369.0,502544839.870746,1062.0
487,5,1,1,466944,398206.0,502544842.36394,955.0
488,5,1,1,462848,394174.0,502544837.875017,1153.0
489,5,1,1,460800,392009.0,502544833.88484,947.0
490,5,1,1,458752,390177.0,502544831.889652,837.0
491,5,1,1,456704,388334.0,502544830.892072,1051.0
492,5,1,1,454656,386222.0,502544827.899482,1032.0
493,5,1,1,452608,384246.0,502544826.403086,840.0
494,5,1,1,451584,383406.0,502544826.403067,982.0
495,5,1,1,561152,493951.0,502544944.115143,868.0
496,5,1,1,559104,492168.0,502544942.119433,998.0
497,5,1,1,557056,490152.0,502544940.124343,1133.0
498,5,1,1,555008,487959.0,502544936.133974,912.0
499,5,1,1,552960,486188.0,502544934.637708,974.0
500,5,1,1,550912,484154.0,502544932.144765,1151.0
